,url,date,content,outlinks,linkPreview
0,https://t.me/s/jobs_in_it_remoute/24798,2024-06-21 06:54:56+00:00,"Новая вакансия👇👇👇👇👇#vacancy #job #remote #russia #qa #middle🔺QA middle🔺Нагрузочное тестирование 🤝🧰 Компания: Phoenix HR💶 ЗП: от 190 000 до 250 000 руб. на руки🌐 Формат, локация: удаленно на территории РФвозможен офис (переезд в Мск за счет компании)оформление по ТКИщем специалистов НТ в команду компании, являющейся одним из лидеров в сфере QA и Performance testing, на проекты в сфере Финтех, для выполнения задач нагрузочного тестирования автоматизированных систем с микросервисной архитектурой.Объекты тестирования включают широкий спектр разнообразных интересных задач, таких как, например, анализ биометрических данных, анализ данных большого объема (BigData) и многое другое. 🛠Технологический стек включает в себя:Kubernetes/Openshift/DockerPostgreSQLJmeter/Gatling/k6Jenkins, GitBitbucketSwaggerPrometheusTelegrafInfluxDBGrafanaELK🎯Задачи на проекте могут включать в себя:- Взаимодействие с ответственными контактными лицами и анализ имеющейся документации, для получения необходимой информации об объекте тестирования- Разработка/актуализация Методики нагрузочного тестирования (МНТ)- Разработка/актуализация скриптов нагрузочного тестирования- Подготовка тестовых данных- Генерация данных в БД- Разработка/актуализация заглушек и эмуляторов- Настройка средств мониторинга- Подготовка и отладка сценариев тестов- Проведение тестов- Сбор и анализ результатов по итогам тестов- Подготовка отчетной документации по результатам тестов- Разработка/актуализация автоматизированных процедур, для встраивания НТ в CI/CD🧰 Требования к кандидату:- Понимание методологии и процессов проведения нагрузочного тестирования- Знание базовых команд Linux- Опыт разработки скриптов нагрузочного тестирования с использование одного из средств (Jmeter, Gatling, k6) от 1 года- Опыт разработки заглушек/эмуляторов систем смежных с объектом тестирования (язык Java) от 0,5 года- Опыт проведения нагрузочных тестов с использование одного из средств (Jmeter, Gatling, k6) от 1 года- Опыт настройки средств мониторинга Prometheus Telegraf/InfluxDB/Grafana/Prometheus от 0,5 года- Опыт анализа и интерпретации результатов мониторинга, включая предварительный анализ загрузки системных ресурсов, производительности БД PostgreSQL и производительности Java приложений от 0,5 года📩 Откликнуться с резюме: @fl_recruiter   Больше вакансий в нашем канале  🔻🔻🔻ПОДПИСЫВАЙТЕСЬ🔻🔻🔻 👉👉Job in IT || Вакансии в IT👈👈🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺","['https://t.me/s/jobs_in_it_remoute?q=%23vacancy', 'https://t.me/s/jobs_in_it_remoute?q=%23job', 'https://t.me/s/jobs_in_it_remoute?q=%23remote', 'https://t.me/s/jobs_in_it_remoute?q=%23russia', 'https://t.me/s/jobs_in_it_remoute?q=%23qa', 'https://t.me/s/jobs_in_it_remoute?q=%23middle', 'https://t.me/fl_recruiter', 'https://t.me/+tZd-fsvTbBdmMzRi']","{'href': 'https://t.me/+tZd-fsvTbBdmMzRi', 'siteName': 'Telegram', 'title': 'Job in IT || Вакансии в IT || Remote || Удаленка', 'description': 'Наш бот ищет вакансии по телегам каналам за вас @Job_in_it_parser_botВакансии в IT. Все в одном месте. Мы мониторим 100 разных групп, каналов и ботов, все вакансии появляются у нас.По всем вопросам @negotiator_connector_bot', 'image': None}"
1,https://t.me/s/jobs_in_it_remoute/24797,2024-06-21 06:54:55+00:00,"Новая вакансия👇👇👇👇👇#вакансия #middle #senior #java #fulltime #удаленка #AQA #auto Auto QA (Java)Локация/Гражданство: РФ Компания: DstLabОформление: ИП, СЗФормат: удаленныйВилка: 180 т.р. - 280 т.р.Проект: крупный банкЛокация: РФГрейд: Middle+/SeniorДлительность: год+Требования:- Опыт работы: 1-3 года•Базовые навыки написания автотестов на Java (UI + rest assured)•Понимание ООП и паттернов, используемых в автотестировании•Опыт тестирования бекенда(api, базы данных, брокеры сообщений) от 1 года•Опыт работы с SOAP•Глубокое понимание клиент-серверной архитектурыБудет плюсом:•Опыт работы в финтех•Опыт работы с Camunda•Навык написания заглушекПисать: @ju_vetta   Больше вакансий в нашем канале  🔻🔻🔻ПОДПИСЫВАЙТЕСЬ🔻🔻🔻 👉👉Job in IT || Вакансии в IT👈👈🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺","['https://t.me/s/jobs_in_it_remoute?q=%23%D0%B2%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D1%8F', 'https://t.me/s/jobs_in_it_remoute?q=%23middle', 'https://t.me/s/jobs_in_it_remoute?q=%23senior', 'https://t.me/s/jobs_in_it_remoute?q=%23java', 'https://t.me/s/jobs_in_it_remoute?q=%23fulltime', 'https://t.me/s/jobs_in_it_remoute?q=%23%D1%83%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0', 'https://t.me/s/jobs_in_it_remoute?q=%23AQA', 'https://t.me/s/jobs_in_it_remoute?q=%23auto', 'https://t.me/ju_vetta', 'https://t.me/+tZd-fsvTbBdmMzRi']","{'href': 'https://t.me/+tZd-fsvTbBdmMzRi', 'siteName': 'Telegram', 'title': 'Job in IT || Вакансии в IT || Remote || Удаленка', 'description': 'Наш бот ищет вакансии по телегам каналам за вас @Job_in_it_parser_botВакансии в IT. Все в одном месте. Мы мониторим 100 разных групп, каналов и ботов, все вакансии появляются у нас.По всем вопросам @negotiator_connector_bot', 'image': None}"
2,https://t.me/s/jobs_in_it_remoute/24796,2024-06-21 06:54:52+00:00,"Новая вакансия👇👇👇👇👇QA Lead в команду OnlineКомпания: 2ГИС 2ГИСЗарплата: Не указанаТип занятости: Полная занятость, полный деньПодробнее: https://telegra.ph/QA-Lead-v-komandu-Online-06-20#qa #Quality Assurance   Больше вакансий в нашем канале  🔻🔻🔻ПОДПИСЫВАЙТЕСЬ🔻🔻🔻 👉👉Job in IT || Вакансии в IT👈👈🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺","['https://telegra.ph/QA-Lead-v-komandu-Online-06-20', 'https://t.me/s/jobs_in_it_remoute?q=%23qa', 'https://t.me/s/jobs_in_it_remoute?q=%23Quality', 'https://t.me/+tZd-fsvTbBdmMzRi']","{'href': 'https://telegra.ph/QA-Lead-v-komandu-Online-06-20', 'siteName': 'Telegraph', 'title': 'QA Lead в команду Online', 'description': 'Привет! Команда Online разрабатывает масштабные проекты — на аудиторию в 60 млн пользователей. Ищем в команду QA-лида на веб-версию 2ГИС, сторис в мобильном приложении и внутренний корпоративный портал. Разработка на TypeScript + React. Тесты пишем на Python…', 'image': None}"
3,https://t.me/s/jobs_in_it_remoute/24795,2024-06-21 06:54:51+00:00,"Новая вакансия👇👇👇👇👇Требуется «Коммуникационный дизайнер»Компания «Газпромбанк» ищет хорошего специалиста на вакансию «Коммуникационный дизайнер». Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #FigmaDesign.https://career.habr.com/vacancies/1000144456   Больше вакансий в нашем канале  🔻🔻🔻ПОДПИСЫВАЙТЕСЬ🔻🔻🔻 👉👉Job in IT || Вакансии в IT👈👈🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺","['https://t.me/s/jobs_in_it_remoute?q=%23middle', 'https://t.me/s/jobs_in_it_remoute?q=%23FigmaDesign', 'https://career.habr.com/vacancies/1000144456', 'https://t.me/+tZd-fsvTbBdmMzRi']","{'href': 'https://career.habr.com/vacancies/1000144456', 'siteName': 'Habr', 'title': 'Вакансия «Коммуникационный дизайнер», удаленно, работа в компании «Газпромбанк» — Хабр Карьера', 'description': 'Вакансия «Коммуникационный дизайнер», удаленно, работа в компании «Газпромбанк». Полная занятость. Можно удаленно.', 'image': None}"
4,https://t.me/s/jobs_in_it_remoute/24794,2024-06-21 06:54:50+00:00,"Новая вакансия👇👇👇👇👇Требуется «TechLead PHP» (Екатеринбург, от 300 000 ₽)Компания «EBC Group» ищет хорошего специалиста на вакансию «TechLead PHP». Екатеринбург (Россия). От 300 000 ₽. Полный рабочий день. Требуемые навыки: #lead, #PHP, #PostgreSQL, #MySQL, #Docker, #RabbitMQ, #REST.https://career.habr.com/vacancies/1000143990   Больше вакансий в нашем канале  🔻🔻🔻ПОДПИСЫВАЙТЕСЬ🔻🔻🔻 👉👉Job in IT || Вакансии в IT👈👈🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺","['https://t.me/s/jobs_in_it_remoute?q=%23lead', 'https://t.me/s/jobs_in_it_remoute?q=%23PHP', 'https://t.me/s/jobs_in_it_remoute?q=%23PostgreSQL', 'https://t.me/s/jobs_in_it_remoute?q=%23MySQL', 'https://t.me/s/jobs_in_it_remoute?q=%23Docker', 'https://t.me/s/jobs_in_it_remoute?q=%23RabbitMQ', 'https://t.me/s/jobs_in_it_remoute?q=%23REST', 'https://career.habr.com/vacancies/1000143990', 'https://t.me/+tZd-fsvTbBdmMzRi']","{'href': 'https://career.habr.com/vacancies/1000143990', 'siteName': 'Habr', 'title': 'Вакансия «TechLead PHP» в Екатеринбурге, работа в компании «EBC Group» — Хабр Карьера', 'description': 'Вакансия «TechLead PHP» в Екатеринбурге, работа в компании «EBC Group». Полная занятость.', 'image': None}"
5,https://t.me/s/jobs_in_it_remoute/24793,2024-06-21 06:54:48+00:00,"Новая вакансия👇👇👇👇👇Требуется «Frontend Middle Engineer» (Санкт-Петербург, до 250 000 ₽)Компания «Omnitec» ищет хорошего специалиста на вакансию «Frontend Middle Engineer». Санкт-Петербург (Россия). До 250 000 ₽. Можно удалённо. Требуемые навыки: #middle, #React, #TypeScript, #Redux, #Storybook, #RESTfulAPI, #Socket.io, #Webpack.https://career.habr.com/vacancies/1000144092   Больше вакансий в нашем канале  🔻🔻🔻ПОДПИСЫВАЙТЕСЬ🔻🔻🔻 👉👉Job in IT || Вакансии в IT👈👈🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺","['https://t.me/s/jobs_in_it_remoute?q=%23middle', 'https://t.me/s/jobs_in_it_remoute?q=%23React', 'https://t.me/s/jobs_in_it_remoute?q=%23TypeScript', 'https://t.me/s/jobs_in_it_remoute?q=%23Redux', 'https://t.me/s/jobs_in_it_remoute?q=%23Storybook', 'https://t.me/s/jobs_in_it_remoute?q=%23RESTfulAPI', 'https://t.me/s/jobs_in_it_remoute?q=%23Socket', 'https://t.me/s/jobs_in_it_remoute?q=%23Webpack', 'https://career.habr.com/vacancies/1000144092', 'https://t.me/+tZd-fsvTbBdmMzRi', 'https://career.habr.com/vacancies/1000144092?utm_source=telegram_career&utm_medium=social&utm_campaign=20627378']","{'href': 'https://career.habr.com/vacancies/1000144092?utm_source=telegram_career&utm_medium=social&utm_campaign=20627378', 'siteName': 'Habr', 'title': 'Вакансия «Frontend Middle Engineer» в Санкт-Петербурге, работа в компании «Omnitec» — Хабр Карьера', 'description': 'Вакансия «Frontend Middle Engineer» в Санкт-Петербурге, работа в компании «Omnitec». Можно удаленно.', 'image': None}"
6,https://t.me/s/jobs_in_it_remoute/24792,2024-06-21 06:54:46+00:00,"Новая вакансия👇👇👇👇👇Senior Frontend Developer300К  -  500К.Удалённая работа из любой точки мира или гибрид в Москве/Санкт-Петербурге.О компании: Российская молодая активно развивающаяся продуктовая IT-компания в B2B сегменте, занимающаяся разработкой ПО для крупных производств.О продукте: MES-решение для управления сложными процессами с большим количеством элементов управления, взаимосвязей (синхронизация, координация, анализ, планирование, оптимизация, контроль качества процессов и т. д.)Стек:  JavaScript, React, Material UI, С#, .Net, PostgreSQL.Что предстоит делать:  -  Провести аудит текущих решений на фронтенде и сформировать роадмап по его улучшению и развитию. -  Разрабатывать сложные графические интерфейсы. -  Принимать ключевые технические решения по развитию продукта и внедрять их в составе фронтенд команды.ПодробнееИщет Ольга Назарова nazarova@new.hrБольше вакансий во фронтенде: @forfrontend   Больше вакансий в нашем канале  🔻🔻🔻ПОДПИСЫВАЙТЕСЬ🔻🔻🔻 👉👉Job in IT || Вакансии в IT👈👈🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺","['https://geekjob.ru/vacancy/6666c665bc4a62ab350d2062', 'https://t.me/forfrontend', 'https://t.me/+tZd-fsvTbBdmMzRi']","{'href': 'https://geekjob.ru/vacancy/6666c665bc4a62ab350d2062', 'siteName': 'Geekjob.ru', 'title': 'Вакансия Senior Frontend Developer на Geekjob.ru', 'description': 'Senior Frontend Developer • Россия • Сеньор • Информационные технологии • Разработка • JavaScript • React • TypeScript • ERP • IoT/IIoT • Производство', 'image': None}"
7,https://t.me/s/jobs_in_it_remoute/24791,2024-06-21 06:54:43+00:00,"Новая вакансия👇👇👇👇👇Ищу IT-рекрутера, УДАЛЕНКА 🤩- отличный английский язык обязателен- опыт работы с affiliate и digital , маркетинг CRYPTO GAMBLING  и прочее - оффер от 1000$+ р оклад + KPI Вилка от 1500 до 4000$Уютная команда и возможности роста до тим лида.😎С уважением, ко всем участникам, буду рада рекомендациям😇   Больше вакансий в нашем канале  🔻🔻🔻ПОДПИСЫВАЙТЕСЬ🔻🔻🔻 👉👉Job in IT || Вакансии в IT👈👈🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺",['https://t.me/+tZd-fsvTbBdmMzRi'],"{'href': 'https://t.me/+tZd-fsvTbBdmMzRi', 'siteName': 'Telegram', 'title': 'Job in IT || Вакансии в IT || Remote || Удаленка', 'description': 'Наш бот ищет вакансии по телегам каналам за вас @Job_in_it_parser_botВакансии в IT. Все в одном месте. Мы мониторим 100 разных групп, каналов и ботов, все вакансии появляются у нас.По всем вопросам @negotiator_connector_bot', 'image': None}"
8,https://t.me/s/jobs_in_it_remoute/24790,2024-06-21 06:54:39+00:00,Новая вакансия👇👇👇👇👇Junior+/Middle Бизнес-аналитикв Lavbrand  -  компания занимаемся проектами в сфере digital и заказной разработки на международном уровне. Разрабатывает инновационные маркетинговые инструменты и платежные решения.$1К. Удалённая работа.Описание вакансии на GeekJob.ruБольше вакансий для аналитиков:  @foranalysts   Больше вакансий в нашем канале  🔻🔻🔻ПОДПИСЫВАЙТЕСЬ🔻🔻🔻 👉👉Job in IT || Вакансии в IT👈👈🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺,"['https://gkjb.ru/heEJ', 'https://t.me/foranalysts', 'https://t.me/+tZd-fsvTbBdmMzRi']","{'href': 'https://gkjb.ru/heEJ', 'siteName': 'Geekjob.ru', 'title': 'Вакансия Бизнес-аналитик (Junior+/middle) на Geekjob.ru', 'description': 'Бизнес-аналитик (Junior+/middle) • Москва • Джуниор • Миддл • Аналитика, Data Science, Big Data • Платежные технологии • Банковская и страховая сфера • Blockchain', 'image': None}"
9,https://t.me/s/jobs_in_it_remoute/24789,2024-06-21 06:54:36+00:00,"Новая вакансия👇👇👇👇👇#uxdesign #gamedesign #2dartist #3dartist  _ _ Вакансии для ux/ui, game designer, художников.UX/UI Design: _ _ Middle GAME UX/UI Designer Удалённо. Предстоит улучшение и оптимизация текущего UX, а также за разработку UI для новых страниц и элементов.Подробнее | Откликнуться Senior UX Designer / ChillbaseУдалённо или РФ, РБ, Сербия, Казахстан, Кипр. 3000 Euro net, обсуждаемо больше. Независимая игровая студия. Подробнее | Откликнуться   _ _ Game Design: _ _ Junior Gamę Design / Making GamesУдалённо. От 1 года. Опыт работы над mid-core проектами (стратегии, rpg, баттлеры).Подробнее |  LinkedIn HRMiddle Game DesignerУдалённо. Разработка основного цикла названия банды, описания фичей, работы над балансом и квестовой основой.Подробнее | Откликнуться  _ _ 3D, 2D Artist: _ _ Junior 3D Artist Удалённо РФ. Опыт от 1 года. Симулятор в реалистичном сеттинге. Подробнее |  Откликнуться 2D Artist (Game art + UI/UX) / GeeksУдалённо. Предстоит создание 2D Idle Tycoon/Clicker для Телеграм.Подробнее | Откликнуться 2D Artist / 100HP Games Удалённо. Создание различных игр: мобильные, браузерные. Подробнее | 100hpgames@gmail.com   Больше вакансий в нашем канале  🔻🔻🔻ПОДПИСЫВАЙТЕСЬ🔻🔻🔻 👉👉Job in IT || Вакансии в IT👈👈🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺","['https://t.me/s/jobs_in_it_remoute?q=%23uxdesign', 'https://t.me/s/jobs_in_it_remoute?q=%23gamedesign', 'https://t.me/s/jobs_in_it_remoute?q=%232dartist', 'https://t.me/s/jobs_in_it_remoute?q=%233dartist', 'https://telegra.ph/Middle-GAME-UXUI-Designer-06-17', 'https://t.me/kitenkate', 'https://chillbase.net/vacancies/ux', 'https://t.me/marha88', 'https://hh.ru/vacancy/101870457', 'https://www.linkedin.com/in/vera-rojneva-22070344', 'https://telegra.ph/Middle-Game-Designer-06-17', 'https://t.me/zhesilda', 'https://telegra.ph/Junior-3D-Artist-06-19', 'https://t.me/pr3ss_f', 'https://geeks-studio.notion.site/2D-Artist-Game-art-UI-UX-8ef962407edb4085bca01fd05b99ef48', 'https://t.me/erdiablo', 'https://telegra.ph/2D-Artist--100HP-Games-06-17', 'https://t.me/+tZd-fsvTbBdmMzRi']","{'href': 'https://telegra.ph/Middle-GAME-UXUI-Designer-06-17', 'siteName': 'Telegraph', 'title': 'Middle GAME UX/UI Designer', 'description': 'ЗП: 2000$ - 3000$ Мы – команда разработки блокчейн проектов, в числе которых игра «Sacra: Falling of Myrd» – дарк фэнтези RPG. Игра уже находится в релизе и активно развивается. Наша цель – создать уникальный и увлекательный игровой опыт, предоставляя игрокам…', 'image': None}"
